School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
MAYWOOD HILLS ELEMEN,Elem,NORTHSHORE SD,2010,81.78,51.56,Public,24.08,4.01,19.06,299,,
MAYWOOD MIDDLE SCHOO,Middle,ISSAQUAH SD,2008,67.36,38.39,Public,13.71,,9.69,846,,
MAYWOOD MIDDLE SCHOO,Middle,ISSAQUAH SD,2009,74.67,48.7,Public,14.25,2.54,9.17,905,,
MAYWOOD MIDDLE SCHOO,Middle,ISSAQUAH SD,2010,78.91,50,Public,14.39,2.71,9.42,924,,
MCALDER ELEMENTARY,Elem,SUMNER SD,2010,73.6,62.71,Public,25.1,,17.57,239,,
MCALDER ELEMENTARY,Elem,SUMNER SD,2009,77.6,75,Public,26.72,,16.03,262,,
MCALDER ELEMENTARY,Elem,SUMNER SD,2008,81.36,64.81,Public,23.71,,14.22,232,,
MCAULIFFE ELEMENTARY,Elem,LAKE WASHINGTON SD,2010,79.84,40,Public,5.47,0,10.95,274,,
MCAULIFFE ELEMENTARY,Elem,LAKE WASHINGTON SD,2008,84.88,73.33,Public,4.18,0,9.47,359,,
MCAULIFFE ELEMENTARY,Elem,LAKE WASHINGTON SD,2009,88.36,91.67,Public,4.17,,8.68,288,,
MCCARVER,Elem,TACOMA SD,2008,,36.3,Public,94.27,7.64,10.19,157,,
MCCARVER,Elem,TACOMA SD,2010,18.18,25.66,Public,93.96,12.64,13.74,182,,
MCCARVER,Elem,TACOMA SD,2009,63.64,37.65,Public,93.85,6.7,13.97,179,,
MCCLEARY ELEM,Comprehensive,MCCLEARY SD,2010,44.09,22.45,Public,51.31,0,11.52,191,,
MCCLEARY ELEM,Comprehensive,MCCLEARY SD,2008,47.92,24.36,Public,45.45,0,9.66,176,,
MCCLEARY ELEM,Comprehensive,MCCLEARY SD,2009,53.06,33.33,Public,48.96,0,10.42,192,,
MCCLURE ELEMENTARY S,Elem,GRANDVIEW SD,2009,33.33,24.89,Public,82.03,33.66,12.75,306,,
MCCLURE ELEMENTARY S,Elem,GRANDVIEW SD,2010,37.5,22.77,Public,85.85,31.13,16.35,318,,
MCCLURE ELEMENTARY S,Elem,GRANDVIEW SD,2008,48.72,27.85,Public,87.3,36.83,13.02,315,,
MCCLURE ELEMENTARY S,Elem,YAKIMA SD,2010,54.35,31.02,Public,84.14,23.45,11.03,290,,
MCCLURE ELEMENTARY S,Elem,YAKIMA SD,2008,59.65,50.85,Public,78.72,18.44,11.35,282,,
MCCLURE ELEMENTARY S,Elem,YAKIMA SD,2009,70.59,48.9,Public,75.52,16.08,13.99,286,,
MCCLURE MIDDLE SCHOO,Middle,SEATTLE PS,2008,65.89,34.77,Public,47.95,8.19,16.04,586,,
MCCLURE MIDDLE SCHOO,Middle,SEATTLE PS,2009,75.55,42,Public,49.82,8.99,13.49,556,,
MCCLURE MIDDLE SCHOO,Middle,SEATTLE PS,2010,80.51,57.94,Public,49.73,8.78,12.8,547,,
MCDERMOTH ELEMENTARY,Elem,ABERDEEN SD,2008,58.39,35.83,Public,46.92,5.38,12.31,260,,
MCDERMOTH ELEMENTARY,Elem,ABERDEEN SD,2010,60.34,30.58,Public,51.87,7.47,16.18,241,,
MCDERMOTH ELEMENTARY,Elem,ABERDEEN SD,2009,69.44,42.06,Public,54.81,7.53,15.06,239,,
MCDONALD ELEMENTARY,Elem,CENTRAL VALLEY SD,2010,57.14,40.82,Public,54.59,,25.41,185,,
MCDONALD ELEMENTARY,Elem,CENTRAL VALLEY SD,2008,66.97,56.44,Public,48.83,,17.37,213,,
MCDONALD ELEMENTARY,Elem,CENTRAL VALLEY SD,2009,79.38,54.31,Public,54.84,,18.89,217,,
MCFARLAND JUNIOR,Middle,OTHELLO SD,2008,57.94,36.99,Public,75.15,24.85,12.03,507,,
MCFARLAND JUNIOR,Middle,OTHELLO SD,2009,64.29,42.25,Public,77.25,23.15,6.19,501,,
MCFARLAND MIDDLE SCH,Middle,OTHELLO SD,2010,70.54,61.99,Public,78.98,26.74,10.82,647,,
MCGILVRA ELEMENTARY,Elem,SEATTLE PS,2008,86.73,70,Public,8.06,0,17.74,124,,
MCGILVRA ELEMENTARY,Elem,SEATTLE PS,2010,87.93,61.54,Public,10.08,0,13.95,129,,
MCGILVRA ELEMENTARY,Elem,SEATTLE PS,2009,89.72,72.22,Public,15.08,0,14.29,126,,
MCILVAIGH,Middle,TACOMA SD,2009,34.62,24.57,Public,87.36,19.54,15.4,435,,
MCILVAIGH,Middle,TACOMA SD,2008,46.81,26.57,Public,88.21,14.25,16.46,407,,
MCKENNA ELEMENTARY,Elem,YELM SD,2008,68.36,56.07,Public,37.68,0,11.27,284,,
MCKENNA ELEMENTARY,Elem,YELM SD,2009,69.94,57.36,Public,44.37,,11.6,293,,
MCKENNA ELEMENTARY,Elem,YELM SD,2010,72.89,56.25,Public,43.92,,13.18,296,,
MCKENNY ELEMENTARY,Elem,OLYMPIA SD,2009,73.84,49.12,Public,25.43,,16.38,232,,
MCKENNY ELEMENTARY,Elem,OLYMPIA SD,2010,74.21,33.33,Public,25.12,,22.33,215,,
MCKENNY ELEMENTARY,Elem,OLYMPIA SD,2008,79.79,44.44,Public,19.92,,15.25,236,,
MCKINLEY,Elem,TACOMA SD,2010,45,46.59,Public,82.3,17.7,15.04,113,,
MCKINLEY,Elem,TACOMA SD,2008,45.45,44.79,Public,89.91,20.18,13.76,109,,
MCKINLEY,Elem,TACOMA SD,2009,50,41.35,Public,88.52,19.67,10.66,122,,
MCKINLEY ELEMENTARY,Elem,YAKIMA SD,2008,42.31,41.73,Public,87.62,24.29,8.1,210,,
MCKINLEY ELEMENTARY,Elem,YAKIMA SD,2009,46.43,44.12,Public,84.33,26.27,10.14,217,,
MCKINLEY ELEMENTARY,Elem,YAKIMA SD,2010,61.54,41.67,Public,87.56,21.78,8.89,225,,
MCKNIGHT MIDDLE SCHO,Middle,RENTON SD,2008,61.5,26.9,Public,33.36,8.83,10.88,1121,,
MCKNIGHT MIDDLE SCHO,Middle,RENTON SD,2009,62.33,30,Public,36.53,7.97,10.51,1180,,
MCKNIGHT MIDDLE SCHO,Middle,RENTON SD,2010,67.28,40.97,Public,41.82,7.6,9.99,1131,,
MCLANE ELEMENTARY SC,Elem,OLYMPIA SD,2010,45.19,23.68,Public,27.27,,18.18,143,,
MCLANE ELEMENTARY SC,Elem,OLYMPIA SD,2009,70.87,59.57,Public,31.13,,17.88,151,,
MCLANE ELEMENTARY SC,Elem,OLYMPIA SD,2008,73.68,57.14,Public,30.66,0,17.52,137,,
MCLOUGHLIN MIDDLE SC,Middle,PASCO SD,2008,48.98,30.89,Public,45.84,7.85,9.97,1274,,
MCLOUGHLIN MIDDLE SC,Middle,PASCO SD,2009,55.85,36.44,Public,45.41,8.29,11.05,1339,,
MCLOUGHLIN MIDDLE SC,Middle,PASCO SD,2010,61.36,37.61,Public,48.69,9.05,16.18,1415,,
MCLOUGHLIN MIDDLE SC,Middle,VANCOUVER SD,2008,47.64,24.31,Public,67.01,0,15.08,776,,
MCLOUGHLIN MIDDLE SC,Middle,VANCOUVER SD,2009,53.7,25.88,Public,71.95,0,15.32,770,,
MCLOUGHLIN MIDDLE SC,Middle,VANCOUVER SD,2010,62.02,36.86,Public,71.94,3.86,15.03,752,,
MCMICKEN HEIGHTS ELE,Elem,HIGHLINE SD,2010,37.93,37.63,Public,52.79,25.75,13.73,233,,
MCMICKEN HEIGHTS ELE,Elem,HIGHLINE SD,2008,44,27.81,Public,71.27,28.36,13.81,268,,
MCMICKEN HEIGHTS ELE,Elem,HIGHLINE SD,2009,46.55,29.31,Public,74.7,28.51,8.84,249,,
MCMURRAY MIDDLE SCHO,Middle,VASHON ISLAND SD,2008,72.11,39.66,Public,17.42,,9.55,356,,
MCMURRAY MIDDLE SCHO,Middle,VASHON ISLAND SD,2009,75.17,47.92,Public,14.77,,9.94,352,,
MCMURRAY MIDDLE SCHO,Middle,VASHON ISLAND SD,2010,78.66,54.72,Public,14.82,,9.97,371,,
MEAD ALTERNATIVE HIG,High,MEAD SD,2009,0,10,Alternative,,,,30,35.33,40.4
MEAD ALTERNATIVE HIG,High,MEAD SD,2010,6.67,9.09,Alternative,41.94,0,,31,16.91,56.47
MEAD ALTERNATIVE HIG,High,MEAD SD,2008,7.14,,Alternative,,,,25,18.29,23.18
MEAD EDUCATION PARTN,Comprehensive,MEAD SD,2008,30,5.56,Alternative,,,,107,,
MEAD EDUCATION PARTN,Comprehensive,MEAD SD,2010,33.33,26.32,Alternative,26.71,,7.53,146,78.35,62.5
MEAD EDUCATION PARTN,Comprehensive,MEAD SD,2009,38.53,41.94,Alternative,,,,143,91.67,
MEAD ELEMENTARY,Elem,LAKE WASHINGTON SD,2008,77.62,73.33,Public,4.07,0,11.11,369,,
MEAD ELEMENTARY,Elem,LAKE WASHINGTON SD,2010,81.58,62.96,Public,7.53,,11.56,372,,
MEAD ELEMENTARY,Elem,LAKE WASHINGTON SD,2009,85.11,76.92,Public,7.32,,11.27,355,,
MEAD SENIOR HIGH SCH,High,MEAD SD,2010,55.41,36.76,Public,17.99,,8.73,378,93.27,82.78
MEAD SENIOR HIGH SCH,High,MEAD SD,2009,67.54,40.3,Public,18.99,,7.34,395,94.45,82.59
MEAD SENIOR HIGH SCH,High,MEAD SD,2008,73.16,62.82,Public,20.6,,6.53,398,92.48,75.75
MEADOW BROOK INTERME,Elem,COLLEGE PLACE SD,2009,50,27.91,Public,57.81,17.3,13.5,237,,
MEADOW BROOK INTERME,Elem,COLLEGE PLACE SD,2008,55.26,32.81,Public,54.33,16.54,14.57,254,,
MEADOW BROOK INTERME,Elem,COLLEGE PLACE SD,2010,65.35,33.05,Public,61.74,18.18,13.64,264,,
MEADOW RIDGE ELEMENT,Elem,KENT SD,2009,59.74,39.32,Public,65.24,37.34,11.59,233,,
MEADOW RIDGE ELEMENT,Elem,KENT SD,2008,60,32.65,Public,68.59,32.49,11.19,277,,
MEADOW RIDGE ELEMENT,Elem,KENT SD,2010,60.71,34.66,Public,77.31,27.31,20,260,,
MEADOW RIDGE ELEMENT,Elem,MEAD SD,2008,76.52,60,Public,23.36,,13.96,351,,
MEADOW RIDGE ELEMENT,Elem,MEAD SD,2010,79.45,63.16,Public,23.42,,13.51,333,,
MEADOW RIDGE ELEMENT,Elem,MEAD SD,2009,81.03,57.53,Public,23.35,,13.77,334,,
MEADOWDALE ELEMENTAR,Elem,EDMONDS SD,2008,75,63.22,Public,33.57,9.19,12.37,283,,
MEADOWDALE ELEMENTAR,Elem,EDMONDS SD,2010,75.42,64.91,Public,40.58,12.66,12.99,308,,
MEADOWDALE ELEMENTAR,Elem,EDMONDS SD,2009,78.77,61.9,Public,32.72,11.03,12.87,272,,
MEADOWDALE HIGH SCHO,High,EDMONDS SD,2010,52.36,29.17,Public,14.2,0,7.67,352,87.07,75.58
MEADOWDALE HIGH SCHO,High,EDMONDS SD,2008,64.29,45.65,Public,14.12,0,7.06,354,87.22,81.09
MEADOWDALE HIGH SCHO,High,EDMONDS SD,2009,65.18,38.33,Public,16.41,0,8.46,390,92.85,71.15
MEADOWDALE MIDDLE SC,Middle,EDMONDS SD,2009,60.99,38.36,Public,22.24,,10.9,679,,
MEADOWDALE MIDDLE SC,Middle,EDMONDS SD,2008,0,40.43,Public,21.75,,8.73,653,,
MEADOWDALE MIDDLE SC,Middle,EDMONDS SD,2010,64.52,32.1,Public,27.75,2.3,11.99,609,,
MEADOWS ELEMENTARY,Elem,NORTH THURSTON PS,2010,50.36,45.38,Public,50.18,6.05,16.73,281,,
MEADOWS ELEMENTARY,Elem,NORTH THURSTON PS,2008,65.62,37.75,Public,55.09,5.96,14.39,285,,
MEADOWS ELEMENTARY,Elem,NORTH THURSTON PS,2009,65.82,51.43,Public,40.28,7.42,13.78,283,,
MEANY MIDDLE SCHOOL,Middle,SEATTLE PS,2008,44.25,19.79,Public,73.19,16.32,21.91,429,,
MEANY MIDDLE SCHOOL,Middle,SEATTLE PS,2009,45.92,27.56,Public,75.31,14.43,20.78,409,,
MEDICAL LAKE ALTERNA,High,MEDICAL LAKE SD,2009,,,Alternative,,,,,20.83,
MEDICAL LAKE ALTERNA,High,MEDICAL LAKE SD,2010,0,0,Alternative,,0,0,,,11.11
MEDICAL LAKE ALTERNA,High,MEDICAL LAKE SD,2008,10,,Alternative,,,,16,47.68,
MEDICAL LAKE ELEMENT,Elem,MEDICAL LAKE SD,2008,74.51,62.5,Public,43.96,,19.78,91,,
MEDICAL LAKE ELEMENT,Elem,MEDICAL LAKE SD,2010,77.36,71.05,Public,41.76,0,16.48,91,,
MEDICAL LAKE ELEMENT,Elem,MEDICAL LAKE SD,2009,83.72,76.47,Public,44.16,,,77,,
MEDICAL LAKE HIGH SC,High,MEDICAL LAKE SD,2009,53.04,43.18,Public,28.83,,8.59,163,99.12,
MEDICAL LAKE HIGH SC,High,MEDICAL LAKE SD,2010,57.98,28.95,Public,25.75,0,9.58,167,99.12,
MEDICAL LAKE HIGH SC,High,MEDICAL LAKE SD,2008,62.1,40,Public,26.74,,11.63,172,,86.44
MEDICAL LAKE MIDDLE,Middle,MEDICAL LAKE SD,2010,46.27,39.36,Public,31.86,0,13.9,295,,
MEDICAL LAKE MIDDLE,Middle,MEDICAL LAKE SD,2008,71.11,48.45,Public,31.1,,8.23,328,,
MEDICAL LAKE MIDDLE,Middle,MEDICAL LAKE SD,2009,74.74,52.22,Public,31.36,0,10.45,287,,
MEDINA ELEMENTARY SC,Elem,BELLEVUE SD,2008,88.26,,Public,,,10.24,254,,
MEDINA ELEMENTARY SC,Elem,BELLEVUE SD,2010,92.54,63.64,Public,4.27,,7.47,281,,
MEDINA ELEMENTARY SC,Elem,BELLEVUE SD,2009,93.1,,Public,,,6.72,268,,
MEEKER,Middle,TACOMA SD,2010,57.99,35.23,Public,26.95,,7.68,742,,
MEEKER,Middle,TACOMA SD,2009,61.03,34.3,Public,23.99,1.35,6.06,742,,
MEEKER,Middle,TACOMA SD,2008,64.81,33.94,Public,21.3,1.99,7.6,803,,
MEEKER ELEMENTARY,Elem,PUYALLUP SD,2008,71.75,61.29,Public,26.34,,13.58,243,,
MEEKER ELEMENTARY,Elem,PUYALLUP SD,2010,72.46,47.19,Public,35.27,,16.28,258,,
MEEKER ELEMENTARY,Elem,PUYALLUP SD,2009,75,54.79,Public,29.23,,11.92,260,,
MEEKER MIDDLE SCHOOL,Middle,KENT SD,2009,68.63,45.85,Public,51.77,10.17,13.25,649,,
MEEKER MIDDLE SCHOOL,Middle,KENT SD,2010,69.55,49.37,Public,58.9,11.66,12.12,652,,
MEEKER MIDDLE SCHOOL,Middle,KENT SD,2008,72.67,42.32,Public,49.24,10.49,12.01,658,,
MELVIN G SYRE ELEMEN,Elem,SHORELINE SD,2010,74.89,30.56,Public,13.64,0,13.26,264,,
MELVIN G SYRE ELEMEN,Elem,SHORELINE SD,2008,80.85,36.59,Public,14.8,0,11.19,277,,
MELVIN G SYRE ELEMEN,Elem,SHORELINE SD,2009,81.53,34.88,Public,16.42,0,11.57,268,,
MERCER ISLAND HIGH S,High,MERCER ISLAND SD,2010,83.19,,Public,,,10.51,352,91.89,
MERCER ISLAND HIGH S,High,MERCER ISLAND SD,2009,84.73,,Public,,,4.29,350,91.82,
MERCER ISLAND HIGH S,High,MERCER ISLAND SD,2008,87.69,,Public,,,8.24,340,94.74,
MERCER MIDDLE SCHOOL,Middle,SEATTLE PS,2008,57.21,35.19,Public,69.38,16.43,12.78,712,,
MERCER MIDDLE SCHOOL,Middle,SEATTLE PS,2009,73.4,42.18,Public,72.31,19.37,12.05,697,,
MERCER MIDDLE SCHOOL,Middle,SEATTLE PS,2010,79.78,60.6,Public,75.27,15.68,13.11,740,,
MEREDITH HILL ELEMEN,Elem,FEDERAL WAY SD,2010,78.79,71.43,Public,37.09,,13.62,213,,
MEREDITH HILL ELEMEN,Elem,FEDERAL WAY SD,2009,79.59,66.67,Public,34.08,,13,223,,
MEREDITH HILL ELEMEN,Elem,FEDERAL WAY SD,2008,85.71,79.37,Public,30.8,4.46,12.95,224,,
MERIDIAN ELEMENTARY,Elem,KENT SD,2008,77.73,36.62,Public,25.85,12.78,19.03,352,,
MERIDIAN ELEMENTARY,Elem,KENT SD,2010,78.11,55.88,Public,36.16,10.06,19.18,318,,
MERIDIAN ELEMENTARY,Elem,KENT SD,2009,78.28,44.83,Public,33.43,15.82,19.7,335,,
MERIDIAN HIGH SCHOOL,High,MERIDIAN SD,2010,45.59,40.62,Public,34.86,,12.84,109,91.14,61.91
MERIDIAN HIGH SCHOOL,High,MERIDIAN SD,2009,58.23,61.9,Public,35.34,,11.28,133,81.05,76.46
MERIDIAN HIGH SCHOOL,High,MERIDIAN SD,2008,63.38,50,Public,32.73,,15.45,110,80.95,65.71
MERIDIAN MIDDLE SCHO,Middle,KENT SD,2009,68.8,48.28,Public,48.96,10.96,10.26,721,,
MERIDIAN MIDDLE SCHO,Middle,KENT SD,2008,73.33,47.49,Public,44.92,11.26,11.95,728,,
MERIDIAN MIDDLE SCHO,Middle,KENT SD,2010,75.5,48.73,Public,55.13,11.14,10.56,682,,
MERIDIAN MIDDLE SCHO,Middle,MERIDIAN SD,2010,57.37,34.26,Public,38.68,5.66,9.75,318,,
MERIDIAN MIDDLE SCHO,Middle,MERIDIAN SD,2009,58.62,30.53,Public,39.23,4.13,12.68,339,,
MERIDIAN MIDDLE SCHO,Middle,MERIDIAN SD,2008,64.4,46.4,Public,42.22,6.29,13.47,334,,
MERIDIAN PARENT PART,Comprehensive,MERIDIAN SD,2008,,,Alternative,,,,7,,
MERIDIAN PARENT PART,Comprehensive,MERIDIAN SD,2009,0,0,Alternative,,,,,,
MERIDIAN PARENT PART,Comprehensive,MERIDIAN SD,2010,1.42,0,Alternative,8.46,0,0,461,,
MERIDIAN PARK ELEMEN,Elem,SHORELINE SD,2010,81.7,52.87,Public,29.69,4.06,10.62,320,,
MERIDIAN PARK ELEMEN,Elem,SHORELINE SD,2009,84.96,54.55,Public,26.47,3.53,9.71,340,,
MERIDIAN PARK ELEMEN,Elem,SHORELINE SD,2008,91.77,52,Public,26.27,5.38,9.49,316,,
MERIT SCHOOL,Comprehensive,FEDERAL WAY SD,2008,,,Alternative,,,,5,,
MERIT SCHOOL,Comprehensive,FEDERAL WAY SD,2009,0,0,Alternative,,,,,,
MERIT SCHOOL,Comprehensive,FEDERAL WAY SD,2010,0,0,Alternative,,0,91.67,12,,
MESA ELEM,Elem,NORTH FRANKLIN SD,2008,66.67,39.68,Public,70.65,20.65,18.48,92,,
MESA ELEM,Elem,NORTH FRANKLIN SD,2009,74.07,37.88,Public,71.28,19.15,23.4,94,,
MESA ELEM,Elem,NORTH FRANKLIN SD,2010,0,50.79,Public,72.16,19.59,28.87,97,,
METHOW VALLEY ELEMEN,Elem,METHOW VALLEY SD,2009,75.9,34.29,Public,46.15,,8.97,156,,
METHOW VALLEY ELEMEN,Elem,METHOW VALLEY SD,2010,78.46,56.98,Public,56.95,0,13.91,151,,
METHOW VALLEY ELEMEN,Elem,METHOW VALLEY SD,2008,79.79,54.93,Public,43.79,,10.65,169,,
MICHAEL ANDERSON ELE,Elem,MEDICAL LAKE SD,2010,56.07,55.7,Public,31.23,,15.02,253,,
MICHAEL ANDERSON ELE,Elem,MEDICAL LAKE SD,2009,69.19,62.22,Public,32.61,0,11.59,276,,
MICHAEL ANDERSON ELE,Elem,MEDICAL LAKE SD,2008,69.41,57.65,Public,33.07,0,12.84,257,,
MICHAEL T SIMMONS EL,Elem,TUMWATER SD,2010,71.86,57.14,Public,26.43,,14.21,401,,
MICHAEL T SIMMONS EL,Elem,TUMWATER SD,2008,77.27,53.76,Public,26.32,,16.62,361,,
MICHAEL T SIMMONS EL,Elem,TUMWATER SD,2009,78.41,53.12,Public,26.52,,16.02,362,,
MID-COLUMBIA PARENT,Comprehensive,KENNEWICK SD,2009,27.27,,Alternative,,,,100,,
MID-COLUMBIA PARENT,Comprehensive,KENNEWICK SD,2010,30.3,,Alternative,,0,,102,,
MID-COLUMBIA PARENT,Comprehensive,KENNEWICK SD,2008,53.85,,Alternative,,,,57,,
MIDDLE COLLEGE HIGH,High,SEATTLE PS,2009,,0,Public,56,0,,25,30.13,55.56
MIDDLE COLLEGE HIGH,High,SEATTLE PS,2008,12.5,7.14,Public,45.45,,,33,75.91,24.2
MIDDLE COLLEGE HIGH,High,SEATTLE PS,2010,20,0,Public,50,,0,22,42,39.56
MIDDLE SCHOOL OPTION,Middle,NORTH KITSAP SD,2009,29.41,,Public,,0,0,24,,
MIDDLE SCHOOL OPTION,Middle,NORTH KITSAP SD,2008,33.33,,Public,,0,0,30,,
MIDDLE SCHOOL OPTION,Middle,NORTH KITSAP SD,2010,42.86,,Public,,0,,21,,
MIDLAND ELEMENTARY,Elem,FRANKLIN PIERCE SD,2010,67.95,63.35,Public,66.8,6.88,12.55,247,,
MIDLAND ELEMENTARY,Elem,FRANKLIN PIERCE SD,2008,75.28,65.08,Public,60.44,12,9.33,225,,
MIDLAND ELEMENTARY,Elem,FRANKLIN PIERCE SD,2009,78.57,58.77,Public,55.16,13,8.52,223,,
MIDWAY ELEMENTARY,Elem,HIGHLINE SD,2010,44.26,37.74,Public,46.71,26.64,12.17,304,,
MIDWAY ELEMENTARY,Elem,HIGHLINE SD,2009,51.35,38.89,Public,84.81,33.33,15.19,270,,
MIDWAY ELEMENTARY,Elem,HIGHLINE SD,2008,72.73,30.29,Public,82.91,29.06,16.24,234,,
MIDWAY ELEMENTARY,Elem,MEAD SD,2009,76.08,76.92,Public,13.18,,10.81,296,,
MIDWAY ELEMENTARY,Elem,MEAD SD,2010,79.56,74.19,Public,18.58,,12.39,339,,
MIDWAY ELEMENTARY,Elem,MEAD SD,2008,80.26,86.84,Public,13.87,,8.39,274,,
MILL A ELEMENTARY SC,Comprehensive,MILL A SD,2010,50,44.44,Public,65.85,0,,41,,
MILL A ELEMENTARY SC,Comprehensive,MILL A SD,2008,73.33,41.18,Public,70,0,20,50,,
MILL A ELEMENTARY SC,Comprehensive,MILL A SD,2009,77.78,54.55,Public,55,0,,40,,
MILL CREEK ELEMENTAR,Elem,EVERETT SD,2009,78.66,67.44,Public,13.7,,10.41,365,,
MILL CREEK ELEMENTAR,Elem,EVERETT SD,2008,83.23,70.37,Public,7.98,,9.69,351,,
MILL CREEK ELEMENTAR,Elem,EVERETT SD,2010,83.45,68.89,Public,14.63,,8.36,335,,
MILL CREEK MIDDLE SC,Middle,KENT SD,2008,60.27,37.89,Public,62,10.75,9.75,800,,
MILL CREEK MIDDLE SC,Middle,KENT SD,2009,63.5,40.49,Public,63.75,12.08,10.41,778,,
MILL CREEK MIDDLE SC,Middle,KENT SD,2010,63.8,40.65,Public,65.12,17.02,14.29,840,,
MILL PLAIN ELEMENTAR,Elem,EVERGREEN (CLARK)SD,2010,69.41,51.39,Public,63.45,6.72,17.65,238,,
MILL PLAIN ELEMENTAR,Elem,EVERGREEN (CLARK)SD,2009,71.7,50.5,Public,50.7,8.84,13.02,215,,
MILL PLAIN ELEMENTAR,Elem,EVERGREEN (CLARK)SD,2008,79.23,56,Public,43.93,6.69,18.83,239,,
MILL POND ELEMENTARY,Elem,YELM SD,2010,72.68,61.39,Public,33.22,,14.66,307,,
MILL POND ELEMENTARY,Elem,YELM SD,2008,76.81,63,Public,32.57,0,16.94,307,,
MILL POND ELEMENTARY,Elem,YELM SD,2009,79.55,60.91,Public,33.53,,16.01,331,,
MILLENNIUM ELEMENTAR,Elem,KENT SD,2008,50.43,41.52,Public,62.88,19.94,10.43,326,,
MILLENNIUM ELEMENTAR,Elem,KENT SD,2009,60.2,38.29,Public,67.22,13.58,11.59,302,,
MILLENNIUM ELEMENTAR,Elem,KENT SD,2010,66.23,37.69,Public,76.15,20.18,12.54,327,,
MILLER JUNIOR HIGH,Middle,ABERDEEN SD,2010,59.72,30.69,Public,58.22,4.55,11.09,505,,
MILLER JUNIOR HIGH,Middle,ABERDEEN SD,2009,62.56,30.93,Public,57.58,3.26,10.94,521,,
MILLER JUNIOR HIGH,Middle,ABERDEEN SD,2008,64.49,31.5,Public,56.51,4.41,11.62,499,,
MINNEHAHA ELEMENTARY,Elem,VANCOUVER SD,2008,51.96,45.99,Public,58.73,9.52,15.08,252,,
MINNEHAHA ELEMENTARY,Elem,VANCOUVER SD,2009,56.86,38.31,Public,60.69,8.78,14.12,262,,
MINNEHAHA ELEMENTARY,Elem,VANCOUVER SD,2010,62.07,36.07,Public,68.66,8.8,16.55,284,,
MINT VALLEY ELEMENTA,Elem,LONGVIEW SD,2008,73.47,44.92,Public,54.59,,14.22,218,,
MINT VALLEY ELEMENTA,Elem,LONGVIEW SD,2010,75,42.36,Public,60.73,,16.19,247,,
MINT VALLEY ELEMENTA,Elem,LONGVIEW SD,2009,77.78,49.35,Public,61.02,,15.35,254,,
MINTER CREEK ELEMENT,Elem,PENINSULA SD,2008,70.78,49.21,Public,29.36,0,16.51,218,,
MINTER CREEK ELEMENT,Elem,PENINSULA SD,2010,72.88,43.4,Public,30.81,0,19.19,172,,
MINTER CREEK ELEMENT,Elem,PENINSULA SD,2009,74.83,54.84,Public,29.52,0,16.67,210,,
MIRROR LAKE ELEMENTA,Elem,FEDERAL WAY SD,2008,77.03,57.8,Public,63.64,16.27,18.66,209,,
MIRROR LAKE ELEMENTA,Elem,FEDERAL WAY SD,2010,79.17,66.17,Public,64.02,14.02,19.16,214,,
MIRROR LAKE ELEMENTA,Elem,FEDERAL WAY SD,2009,83.08,72.54,Public,70.14,13.57,19.46,221,,
MISSION VIEW ELEMENT,Elem,WENATCHEE SD,2010,52.83,42.86,Public,80.15,33.46,7.72,272,,
MISSION VIEW ELEMENT,Elem,WENATCHEE SD,2009,57.14,55.74,Public,78.21,34.63,10.12,257,,
MISSION VIEW ELEMENT,Elem,WENATCHEE SD,2008,80,58.33,Public,75.49,36.76,9.49,253,,
MLC/DISCOVER ELEMENT,Elem,MOSES LAKE SD,2008,77.38,58.46,Public,43.62,0,8.05,149,,
MLC/DISCOVER ELEMENT,Elem,MOSES LAKE SD,2010,80.72,58.73,Public,43.15,0,6.85,146,,
MLC/DISCOVER ELEMENT,Elem,MOSES LAKE SD,2009,81.58,66.67,Public,48.65,0,6.76,148,,
MONROE ELEMENTARY,Elem,EVERETT SD,2009,66.48,48.31,Public,38.01,9.93,9.93,292,,
MONROE ELEMENTARY,Elem,EVERETT SD,2010,70.41,50,Public,36.3,8.15,9.26,270,,
MONROE ELEMENTARY,Elem,EVERETT SD,2008,74.03,57.33,Public,33.81,10.43,14.39,278,,
MONROE HIGH SCHOOL,High,MONROE SD,2008,51.02,24.24,Public,16.71,3.25,11.14,431,90.69,86.09
MONROE HIGH SCHOOL,High,MONROE SD,2010,51.06,32.65,Public,24.78,,10.65,460,95.83,88.53
MONROE HIGH SCHOOL,High,MONROE SD,2009,53.1,28.38,Public,19.47,3.32,11.06,452,87.1,65.46
MONROE MIDDLE SCHOOL,Middle,MONROE SD,2009,48.8,22.88,Public,27.23,5.01,11.98,459,,
MONROE MIDDLE SCHOOL,Middle,MONROE SD,2010,50,23.64,Public,28.92,5.74,11.48,453,,
MONROE MIDDLE SCHOOL,Middle,MONROE SD,2008,50.25,19.23,Public,21.39,1.98,11.09,505,,
MONTE CRISTO ELEMENT,Elem,GRANITE FALLS SD,2010,48.87,26.8,Public,41.81,0,16.38,232,,
MONTE CRISTO ELEMENT,Elem,GRANITE FALLS SD,2008,48.88,36.36,Public,33.58,,15.67,268,,
MONTE CRISTO ELEMENT,Elem,GRANITE FALLS SD,2009,60.65,28.92,Public,35.15,,14.23,239,,
