School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
ALDERWOOD ELEMENTARY,Elem,BELLINGHAM SD,2008,81.63,42.72,Public,68.39,22.58,14.84,155,,
ALDERWOOD MIDDLE SCH,Middle,EDMONDS SD,2008,54.75,41.02,Public,36.94,9.81,9.17,785,,
ALDERWOOD MIDDLE SCH,Middle,EDMONDS SD,2009,57.03,35.66,Public,33.58,9.01,10.49,810,,
ALDERWOOD MIDDLE SCH,Middle,EDMONDS SD,2010,66.53,56.96,Public,42.82,11.09,13.07,857,,
ALKI ELEMENTARY SCHO,Elem,SEATTLE PS,2008,77.57,60.42,Public,30.38,,15.19,158,,
ALKI ELEMENTARY SCHO,Elem,SEATTLE PS,2010,78.95,56.34,Public,38.95,,15.26,190,,
ALKI ELEMENTARY SCHO,Elem,SEATTLE PS,2009,81.3,63.83,Public,27.91,,15.12,172,,
ALKI MIDDLE SCHOOL,Middle,VANCOUVER SD,2009,62.52,39.1,Public,22.46,0,11.02,699,,
ALKI MIDDLE SCHOOL,Middle,VANCOUVER SD,2008,64.18,42.03,Public,19.63,0,11.52,703,,
ALKI MIDDLE SCHOOL,Middle,VANCOUVER SD,2010,66.21,52.76,Public,24.55,,11.31,672,,
ALLEN CREEK ELEMENTA,Elem,MARYSVILLE SD,2010,62.57,45.35,Public,33.46,,21.19,269,,
ALLEN CREEK ELEMENTA,Elem,MARYSVILLE SD,2008,66.53,43.21,Public,25.62,,13.75,320,,
ALLEN CREEK ELEMENTA,Elem,MARYSVILLE SD,2009,67,42.86,Public,29.41,,16.96,289,,
ALLEN ELEMENTARY,Comprehensive,BURLINGTON SD,2010,43.02,20.3,Public,70.21,,16.78,292,,
ALLEN ELEMENTARY,Comprehensive,BURLINGTON SD,2008,50.41,29.83,Public,61.85,22.77,15.38,325,,
ALLEN ELEMENTARY,Comprehensive,BURLINGTON SD,2009,52.48,25.14,Public,66.56,25.32,13.96,308,,
ALLIANCE ACADEMY,Comprehensive,BREMERTON SD,2009,23.08,13.33,Alternative,,,,29,,
ALLIANCE ACADEMY,Comprehensive,BREMERTON SD,2008,27.27,15,Alternative,,,,31,,
ALLIANCE ACADEMY,Comprehensive,BREMERTON SD,2010,33.33,6.67,Alternative,55.56,0,,27,,
ALMIRA COULEE HARTLI,High,COULEE-HARTLINE SD,2010,53.33,,Public,,0,,22,100,
ALMIRA COULEE HARTLI,High,COULEE-HARTLINE SD,2009,61.9,,Public,,0,,24,100,
