School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
ILLAHEE MIDDLE SCHOO,FEDERAL WAY SD,Middle,Public,38.33,3.7,847.6666667,50.48
IMAGE ELEMENTARY SCH,EVERGREEN (CLARK)SD,Elem,Public,50.00333333,10.83666667,366,54.22
INDEPENDENT SCHOLAR,RIVERSIDE SD,Comprehensive,Alternative,58.9,0,65.33333333,14
INDEX ELEMENTARY SCH,INDEX SD,Elem,Public,75.645,0,13.66666667,22.725
INDIAN TRAIL ELEMENT,SPOKANE SD,Elem,Public,28.87,0,232,49.95333333
INGLEMOOR HS,NORTHSHORE SD,High,Public,13.54,2.57,601.3333333,50.77
INGLEWOOD JUNIOR HIG,LAKE WASHINGTON SD,Middle,Public,2.833333333,0,706.3333333,57.76
INGRAHAM HIGH SCHOOL,SEATTLE PS,High,Public,51.78666667,15.19666667,240.3333333,32.01
INSIGHT SCHOOL OF WA,QUILLAYUTE VLY SD,High,Alternative,22.55,0,564.6666667,13.18333333
INTERAGENCY PROGRAMS,SEATTLE PS,Comprehensive,Alternative,48.39,9.68,166.6666667,3.476666667
INTERLAKE SENIOR HIG,BELLEVUE SD,High,Public,22.99,6.056666667,328.3333333,47.25
IRENE REITHER PRIMAR,MERIDIAN SD,Elem,Public,40.12333333,11.11,116,53.82666667
ISLAND PARK ELEMENTA,MERCER ISLAND SD,Elem,Public,4.65,6.856666667,266.3333333,54.55
ISLAND VIEW ELEMENTA,ANACORTES SD,Elem,Public,45.16,4.275,287,47.76
ISLAND VIEW ELEMENTAry,ANACORTES SD,Elem,Public,53.73,5.49,255,56.72
ISLANDER MIDDLE SCHO,MERCER ISLAND SD,Middle,Public,2.53,1.453333333,962.6666667,64.99333333
ISOM ELEMENTARY SCHO,LYNDEN SD,Elem,Public,34.35,10.21666667,192,54.96333333
ISSAQUAH MIDDLE SCHO,ISSAQUAH SD,Middle,Public,9.496666667,2.776666667,935.3333333,33.63
ISSAQUAH VALLEY ELEM,ISSAQUAH SD,Elem,Public,23.91666667,7.63,237.3333333,46.69666667
J M WEATHERWAX HIGH,ABERDEEN SD,High,Public,40.67333333,4.753333333,253,17.72666667
JACKSON ELEMENTARY S,EVERETT SD,Elem,Public,52.93,7.925,163.3333333,45.31
JAMES MCGEE ELEMENTA,PASCO SD,Elem,Public,40.35,7.533333333,360.3333333,43.21
JAMES SALES ELEMENTA,FRANKLIN PIERCE SD,Elem,Public,74.03333333,8.876666667,203,44.30666667
JANE ADDAMS K-8,SEATTLE PS,Comprehensive,Public,51.71,8.97,234,46.85
JASON LEE,TACOMA SD,Middle,Public,79.51,2.815,465,26.14333333
JASON LEE MIDDLE SCH,VANCOUVER SD,Middle,Public,61.54666667,24.96333333,788.6666667,28.55666667
JEFFERSON,TACOMA SD,Elem,Public,56.57333333,0,94,46.18
JEFFERSON ELEMENTARY,EVERETT SD,Elem,Public,35.68,10.21333333,248,57.6
JEFFERSON ELEMENTARY,MOUNT VERNON SD,Elem,Public,60.64333333,19.21666667,299.6666667,43.49
JEFFERSON ELEMENTARY,PULLMAN SD,Elem,Public,34.45333333,0,206.6666667,56.01666667
JEFFERSON ELEMENTARY,RICHLAND SD,Elem,Public,59.49666667,5.443333333,208.3333333,44.63333333
JEFFERSON LINCOLN EL,CENTRALIA SD,Elem,Public,79.46333333,10.34,102.6666667,67.69666667
JEFFERSON MIDDLE SCH,VANCOUVER SD,Middle,Public,24.83,0,828.6666667,34.53333333
JENKINS CREEK ELEMEN,KENT SD,Elem,Public,50.23333333,20.47333333,209.6666667,39.20333333
JENKINS MIDDLE SCHOO,CHEWELAH SD,Middle,Public,58.86,0,209.6666667,45.55
JENKINS SENIOR HIGH,CHEWELAH SD,High,Public,44.48,0,92.66666667,30.10333333
JOHN CAMPBELL ELEMEN,SELAH SD,Elem,Public,43.45,8.36,235.6666667,42.24666667
JOHN MUIR ELEMENTARY,SEATTLE PS,Elem,Public,66.30333333,6.38,155,50.79
JOHN NEWBERY ELEMENT,WENATCHEE SD,Elem,Public,46.97,17.07,277.6666667,45.22666667
JOHN ROGERS ELEMENTA,SEATTLE PS,Elem,Public,40.06333333,0,138.3333333,49.56666667
JOHN SAGER MIDDLE SC,COLLEGE PLACE SD,Middle,Public,57.63,9.53,165,33.65
JOHN STANFORD INTERN,SEATTLE PS,Elem,Public,22.28666667,16.13666667,189,61.38666667
JUANITA ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,36.17666667,6.516666667,204.3333333,64.97
JULIA BUTLER HANSEN,OLYMPIA SD,Elem,Public,38.68,6.966666667,235.6666667,52.09
JULIUS A WENDT ELEME,WAHKIAKUM SD,Comprehensive,Public,51.24333333,1.45,229.6666667,40.03
KALAMA ELEM SCHOOL,KALAMA SD,Elem,Public,33.77333333,0,230,45.03
KALAMA JR SR HIGH,KALAMA SD,Comprehensive,Public,29.89,0,336.6666667,34.40333333
KALLES JUNIOR HIGH,PUYALLUP SD,Middle,Public,25.92666667,0,491.6666667,41.24
KAMIAK HIGH SCHOOL,MUKILTEO SD,High,Public,12.55333333,3.383333333,560.3333333,53.55666667
KAMIAKIN HIGH SCHOOL,KENNEWICK SD,High,Public,22.91,3.025,426.3333333,36.05
KAMIAKIN JUNIOR HIGH,LAKE WASHINGTON SD,Middle,Public,31.37,2.71,378,34.07666667
KAPOWSIN ELEMENTARY,BETHEL SD,Elem,Public,31.87666667,0,295.3333333,44.34666667
KARSHNER ELEMENTARY,PUYALLUP SD,Elem,Public,47.44,7.82,194,51.64333333
KELLER ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,30.27333333,6.11,186,54.13333333
KELLOGG MARSH ELEMEN,MARYSVILLE SD,Elem,Public,36.40333333,7.01,329,47.12666667
KELLOGG MIDDLE SCHOO,SHORELINE SD,Middle,Public,25.21666667,3.596666667,624,47.97
KENDALL ELEMENTARY,MOUNT BAKER SD,Elem,Public,77.65666667,16.76666667,271.6666667,33.30333333
KENMORE ELEMENTARY,NORTHSHORE SD,Elem,Public,38.63333333,12.51,273.3333333,53.80666667
KENMORE JUNIOR HIGH,NORTHSHORE SD,Middle,Public,16.31333333,3.203333333,486.3333333,41.97
KENNEWICK HIGH SCHOO,KENNEWICK SD,High,Public,52.38666667,11.47333333,365.3333333,33.18333333
KENNYDALE ELEMENTARY,RENTON SD,Elem,Public,40.77333333,9.683333333,295.3333333,40.25666667
KENROY ELEMENTARY,EASTMONT SD,Elem,Public,53.70666667,13.44333333,160,68.09666667
KENT-MERIDIAN HIGH S,KENT SD,High,Public,64.79,18.36,508.3333333,33.66
KENT ELEMENTARY SCHO,KENT SD,Elem,Public,74.1,19.49666667,308,50.75333333
KENT PHOENIX ACADEMY,KENT SD,High,Public,39.65666667,0,115.6666667,10.07
KENTLAKE HIGH SCHOOL,KENT SD,High,Public,27.04333333,5.18,481.6666667,33.11666667
KENTRIDGE HIGH SCHOO,KENT SD,High,Public,27.44333333,5.376666667,593.6666667,47.28666667
KENTWOOD HIGH SCHOOL,KENT SD,High,Public,27.47,4.556666667,543.6666667,38.92666667
KESSLER ELEMENTARY S,LONGVIEW SD,Elem,Public,82.91,10.705,175.6666667,35.39333333
KETTLE FALLS ELEMENT,KETTLE FALLS SD,Elem,Public,60.44333333,0,107,57.8
KETTLE FALLS HIGH SC,KETTLE FALLS SD,High,Public,55.03666667,0,71.33333333,37.76333333
KETTLE FALLS MIDDLE,KETTLE FALLS SD,Middle,Public,59.10666667,0,244,41.38666667
KEY PENINSULA MIDDLE,PENINSULA SD,Middle,Public,44.00333333,0,500.6666667,43.08333333
KILO MIDDLE SCHOOL,FEDERAL WAY SD,Middle,Public,48.83333333,3.956666667,706,38.37666667
KIMBALL ELEMENTARY S,SEATTLE PS,Elem,Public,60.56,28.72,250.6666667,58.27
KINGSTON MIDDLE SCHO,NORTH KITSAP SD,Middle,Public,35.94,1.8,699.3333333,38.73333333
KIONA-BENTON CITY EL,KIONA-BENTON SD,Elem,Public,57.265,8.87,351,38.29
KIONA-BENTON CITY HI,KIONA-BENTON SD,High,Public,45.00666667,10.455,128.6666667,29.05
KIONA-BENTON CITY MI,KIONA-BENTON SD,Middle,Public,56.05333333,8.256666667,351.6666667,38.65666667
KIONA-BENTON CITY PR,KIONA-BENTON SD,Elem,Public,60.29,13.24,340,39.77
KIRK ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,6.653333333,0,299.6666667,53.70333333
KIRKLAND JUNIOR HIGH,LAKE WASHINGTON SD,Middle,Public,14.42666667,0,361,47.76333333
KIRKWOOD ELEMENTARY,TOPPENISH SD,Elem,Public,99.83333333,24.77333333,200,36.23
KITTITAS ELEMENTARY,KITTITAS SD,Elem,Public,48.99666667,8.125,138,43
KLICKITAT ELEM & HIG,KLICKITAT SD,Comprehensive,Public,61.66333333,0,66.33333333,36.84333333
KNOLLS VISTA ELEMENT,MOSES LAKE SD,Elem,Public,68.13,4.916666667,237.6666667,50.22666667
KOKANEE ELEMENTARY,NORTHSHORE SD,Elem,Public,13.33333333,4.27,305,42.61666667
KULSHAN MIDDLE SCHOO,BELLINGHAM SD,Middle,Public,35.40666667,2.35,626,42.85
LA CONNER ELEMENTARY,LACONNER SD,Elem,Public,47.45,0,144.3333333,29.01
LA CONNER MIDDLE,LACONNER SD,Middle,Public,38.86666667,0,154.3333333,34.48666667
LA VENTURE MIDDLE SC,MOUNT VERNON SD,Middle,Public,70.58666667,17.82,398.3333333,29.16666667
LACAMAS HEIGHTS ELEM,CAMAS SD,Elem,Public,19.72333333,0,264,50.58666667
LAFAYETTE ELEMENTARY,SEATTLE PS,Elem,Public,15.40333333,0,242,77.17333333
LAKE DOLLOFF ELEMENT,FEDERAL WAY SD,Elem,Public,46.29,12.12333333,255.3333333,61.44
LAKE FOREST PARK ELE,SHORELINE SD,Elem,Public,26.98666667,8.206666667,250.6666667,46.36666667
LAKE GROVE ELEMENTAR,FEDERAL WAY SD,Elem,Public,70.45,16.16,211,55.38
LAKE HILLS ELEMENTAR,BELLEVUE SD,Elem,Public,65.47666667,25.65333333,237,57.1
LAKE LOUISE ELEMENTA,CLOVER PARK SD,Elem,Public,63.02,7.13,208,26.22333333
LAKE QUINAULT ELEMEN,LAKE QUINAULT SD,Elem,Public,88.78,24.29,49.66666667,43.17666667
LAKE QUINAULT HIGH S,LAKE QUINAULT SD,Comprehensive,Public,80.12333333,12.94,75.66666667,19.59333333
LAKE ROOSEVELT HIGH,GRAND COULEE SD,High,Public,59.94333333,0,75,12.57333333
LAKE SPOKANE ELEMENT,NINE MILE FALLS SD,Elem,Public,31.94666667,0,280.6666667,57.69333333
LAKE STEVENS MIDDLE,LAKE STEVENS SD,Middle,Public,30.77,3.08,564,35.90333333
LAKE VIEW ELEMENTARY,AUBURN SD,Elem,Public,30.8,7.146666667,214.6666667,53.45666667
LAKE WASHINGTON HIGH,LAKE WASHINGTON SD,High,Public,15.44333333,3.54,353.6666667,36.05666667
LAKE WILDERNESS ELEM,TAHOMA SD,Elem,Public,19.73666667,2.25,464,67.47
LAKE YOUNGS ELEMENTA,KENT SD,Elem,Public,23.27,3.666666667,346.6666667,51.57
LAKELAND ELEMENTARY,FEDERAL WAY SD,Elem,Public,42.15,6.28,200,61.91333333
LAKELAND HILLS ELEME,AUBURN SD,Elem,Public,26.18666667,9.523333333,311,64.84666667
LAKERIDGE ELEMENTARY,RENTON SD,Elem,Public,83.31666667,11.31333333,220.3333333,21.46
LAKES HIGH SCHOOL,CLOVER PARK SD,High,Public,35.45666667,0,365.6666667,29.86666667
LAKESIDE HIGH SCHOOL,NINE MILE FALLS SD,High,Public,18.25666667,0,150,40.59333333
LAKESIDE MIDDLE SCHO,NINE MILE FALLS SD,Middle,Public,29.11,0,411,42.76
LAKEVIEW ELEMENTARY,CLOVER PARK SD,Elem,Public,90.02666667,27.64333333,212,47.75
LAKEVIEW ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,16.3,0,245.3333333,51.80333333
LAKEVIEW TERRACE ELE,MOSES LAKE SD,Elem,Public,65.87,6.4,205.6666667,54.39333333
LAKEWOOD HIGH SCHOOL,LAKEWOOD SD,High,Public,24.93,0,206.3333333,34.10666667
LAKEWOOD MIDDLE SCHO,LAKEWOOD SD,Middle,Public,31.43,1.845,572,34.65
LAKOTA MIDDLE SCHOOL,FEDERAL WAY SD,Middle,Public,45.30333333,5.163333333,735.6666667,41.09333333
LAMONT MIDDLE SCHOOL,LAMONT SD,Middle,Public,70.91333333,0,30.66666667,22.81333333
LARCHMONT,TACOMA SD,Elem,Public,69.42666667,8.723333333,195,46.82
LARSON HEIGHTS ELEME,MOSES LAKE SD,Elem,Public,82.13333333,12.42,181.3333333,47.86333333
LAURELHURST ELEMENTA,SEATTLE PS,Elem,Public,15.98,0,227,55.68333333
LAURIN MIDDLE SCHOOL,BATTLE GROUND SD,Middle,Public,37.20666667,4.406666667,611.3333333,43.39666667
LAWTON ELEMENTARY SC,SEATTLE PS,Elem,Public,18.93666667,0,173.3333333,55.85
LEA HILL ELEMENTARY,AUBURN SD,Elem,Public,42.70666667,8.45,164,58.62
LELAND P BROWN ELEME,OLYMPIA SD,Elem,Public,40.08,0,162.3333333,43.57333333
LEONARD M JENNINGS E,COLFAX SD,Comprehensive,Public,28.93666667,0,304.6666667,51.98333333
LEOTA JR HIGH,NORTHSHORE SD,Middle,Public,15.52,2.76,471,42.96
LESCHI ELEMENTARY SC,SEATTLE PS,Elem,Public,76.23,13.00666667,128.6666667,39.54666667
LEWIS & CLARK HIGH S,SPOKANE SD,High,Public,30.44666667,3.436666667,495.6666667,34.73333333
LEWIS & CLARK MIDDLE,YAKIMA SD,Middle,Public,88.77333333,18.97333333,709.6666667,34.51666667
LEWIS AND CLARK ELEM,WENATCHEE SD,Elem,Public,73.5,28.57333333,190,43.81666667
LIBERTY BELL JR SR H,METHOW VALLEY SD,Comprehensive,Public,39.12333333,0,125,56.37
LIBERTY ELEMENTARY,MARYSVILLE SD,Elem,Public,74.98666667,11.69666667,240.3333333,42.67
LIBERTY JR HIGH & EL,LIBERTY SD,Comprehensive,Public,47.29,0,204,38.42333333
LIBERTY MIDDLE SCHOO,CAMAS SD,Middle,Public,25.73666667,0,676,50.44666667
LIDGERWOOD ELEMENTAR,SPOKANE SD,Elem,Public,81.30333333,8.55,179.6666667,48.71666667
LINCOLN,TACOMA SD,High,Public,70.85333333,4.82,387.3333333,16.80666667
LINCOLN ELEMENTARY,ELLENSBURG SD,Elem,Public,33.28333333,4.7,230,42.91
LINCOLN ELEMENTARY,HOQUIAM SD,Elem,Public,64.74,2.59,165.3333333,44.15
LINCOLN ELEMENTARY S,KENNEWICK SD,Elem,Public,29.78,3.945,267,58.25333333
LINCOLN ELEMENTARY S,MOUNT VERNON SD,Elem,Public,63.63,20.12,252,37.71666667
LINCOLN ELEMENTARY S,OLYMPIA SD,Elem,Public,22.95333333,0,147.6666667,43.15333333
LINCOLN ELEMENTARY S,TOPPENISH SD,Elem,Public,99.67333333,31.93333333,203.6666667,29.81666667
LINCOLN ELEMENTARY S,VANCOUVER SD,Elem,Public,61.89666667,6.786666667,220.3333333,39.22333333
LINCOLN HEIGHTS ELEM,SPOKANE SD,Elem,Public,47.42333333,5.56,312,53.89
LINCOLN HIGH SCHOOL,PORT ANGELES SD,High,Alternative,66.67,0,25.33333333,13.33333333
LINCOLN MIDDLE SCHOO,CLARKSTON SD,Middle,Public,50.52666667,0,376.6666667,36.07666667
LINDBERGH SENIOR HIG,RENTON SD,High,Public,37.91,7.54,311,31.95666667
LINWOOD ELEMENTARY,SPOKANE SD,Elem,Public,65.47666667,5.74,222,49.57
LISTER,TACOMA SD,Elem,Public,77.89,21.82666667,215.6666667,40.45666667
LITTLE CEDARS ELEMEN,SNOHOMISH SD,Elem,Public,11.09333333,2.33,425,49.03
LITTLE MOUNTAIN ELEM,MOUNT VERNON SD,Elem,Public,68.55333333,25.33333333,340.6666667,34.68
LITTLEROCK ELEMENTAR,TUMWATER SD,Elem,Public,27.94,0,262.3333333,45.94
LOCHBURN MIDDLE SCHO,CLOVER PARK SD,Middle,Public,79,18.14,606.3333333,31.01
LOCKWOOD ELEMENTARY,NORTHSHORE SD,Elem,Public,9.95,0,281.3333333,59.02
LOGAN ELEMENTARY,SPOKANE SD,Elem,Public,85.58333333,6.136666667,238.6666667,56.18333333
LONGFELLOW ELEMENTAR,PASCO SD,Elem,Public,96.08,68.36666667,289,23.23333333
LONGFELLOW ELEMENTAR,SPOKANE SD,Elem,Public,80.27333333,4.336666667,299.6666667,53.57333333
LONGVIEW ELEMENTARY,MOSES LAKE SD,Elem,Public,67.83333333,8.093333333,252.3333333,49.20333333
LOON LAKE ELEMENTARY,LOON LAKE SD,Elem,Public,72.27666667,0,77.33333333,39.30666667
LOPEZ MIDDLE HIGH SC,LOPEZ SD,Comprehensive,Public,43.55,0,77,37.48666667
LOWELL,TACOMA SD,Elem,Public,25.72333333,0,223.3333333,56.36
LOWELL ELEMENTARY,EVERETT SD,Elem,Public,59.13333333,14.65,212.3333333,52.35666667
LOWELL ELEMENTARY SC,SEATTLE PS,Elem,Public,9.233333333,0,311.6666667,67.25666667
LOYAL HEIGHTS ELEMEN,SEATTLE PS,Elem,Public,8.636666667,0,185.3333333,68.37
LUCILLE UMBARGER ELE,BURLINGTON SD,Comprehensive,Public,47.33666667,6.546666667,507.6666667,29.93666667
LUMMI HIGH SCHOOL,FERNDALE SD,High,Alternative,70.74,0,29,2.9
LUMMI TRIBAL ELEMENT,FERNDALE SD,Comprehensive,Alternative,80.11,0,151.3333333,9.936666667
LUTACAGA ELEMENTARY,OTHELLO SD,Elem,Public,83.27333333,39.95,356.3333333,39.49
LYDIA HAWK ELEMENTAR,NORTH THURSTON PS,Elem,Public,64.97666667,8.343333333,255.3333333,48.78
LYLE MIDDLE SCHOOL,LYLE SD,Middle,Public,99.37,0,55,23.81333333
LYMAN ELEMENTARY SCH,SEDRO-WOOLLEY SD,Elem,Public,54.7,0,97.33333333,50.17666667
LYNDEN HIGH SCHOOL,LYNDEN SD,High,Public,34.02,5.793333333,219,38.30333333
LYNDEN MIDDLE SCHOOL,LYNDEN SD,Middle,Public,39.70666667,6.72,595,36.11666667
LYNNDALE ELEMENTARY,EDMONDS SD,Elem,Public,38.26,10.06333333,244.6666667,55.24
LYNNWOOD ELEMENTARY,EDMONDS SD,Elem,Public,40.24666667,12.29333333,280,49.93666667
LYNNWOOD HIGH SCHOOL,EDMONDS SD,High,Public,34.72666667,10.01,378.3333333,39.36666667
LYON,TACOMA SD,Elem,Public,70.81666667,8.73,123.3333333,30.14
MABTON SR HIGH SCHOO,MABTON SD,High,Public,77.94,27.56666667,129.3333333,19.86
MADISON ELEMENTARY,EVERETT SD,Elem,Public,61.29,12.03,229,53.29333333
MADISON ELEMENTARY,MOUNT VERNON SD,Elem,Public,75.7,33.92666667,255.6666667,39.51666667
MADISON MIDDLE SCHOO,SEATTLE PS,Middle,Public,42.32333333,8.333333333,891.6666667,41.65333333
MADRONA,SEATTLE PS,Comprehensive,Public,72.69,0,265.5,34.25
MADRONA ELEMENTARY,HIGHLINE SD,Elem,Public,78.29666667,37.48,329,35.37
MALTBY ELEMENTARY,MONROE SD,Elem,Public,16.34,6.28,207.3333333,47.14666667
MANCHESTER ELEMENTAR,SOUTH KITSAP SD,Elem,Public,38.29333333,0,262.6666667,42.28666667
MANN,TACOMA SD,Elem,Public,70.07333333,4.135,235.6666667,33.51333333
MANN ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,8.173333333,0,252,74.38
MANN MIDDLE SCHOOL,CLOVER PARK SD,Middle,Public,48.30666667,2.56,455,28.44333333
MANSON ELEMENTARY,MANSON SD,Elem,Public,73.92666667,34.75,183.3333333,46.27666667
MANSON JUNIOR SENIOR,MANSON SD,Comprehensive,Public,78.13,22.85666667,145,34.97
MAPLE ELEMENTARY SCH,SEATTLE PS,Elem,Public,64.12333333,25.73666667,229,65.64666667
MAPLE GROVE MIDDLE,BATTLE GROUND SD,Middle,Public,42.77,5.456666667,546,39.58333333
MAPLE GROVE PRIMARY,BATTLE GROUND SD,Elem,Public,50.49,12.19333333,302.3333333,47.42666667
MAPLE LANE SCHOOL,ROCHESTER SD,High,Alternative,100,0,76.66666667,1.436666667
MAPLE LAWN ELEMENTAR,SUMNER SD,Elem,Public,31.44,4.57,230.3333333,59.71666667
MAPLEWOOD HEIGHTS EL,RENTON SD,Elem,Public,35.61,11.77,306,49.66333333
MARCUS WHITMAN-COWIC,HIGHLAND SD,Elem,Public,81.39,17.84333333,85,69.65666667
MARINER HIGH SCHOOL,MUKILTEO SD,High,Public,57.30666667,11.37,539.6666667,32.79666667
MARK TWAIN ELEMENTAR,FEDERAL WAY SD,Elem,Public,73.76,19.96,220.3333333,58.01333333
MARK TWAIN ELEMENTAR,PASCO SD,Elem,Public,64.39333333,25.60666667,283.3333333,32.31666667
MARRION ELEMENTARY S,EVERGREEN (CLARK)SD,Elem,Public,53.64,9.15,233.3333333,39.91
MARTHA LAKE ELEMENTA,EDMONDS SD,Elem,Public,33.45333333,8.23,324,52.25333333
MARTIN LUTHER KING E,VANCOUVER SD,Elem,Public,85.24,21.22666667,216.3333333,36.56333333
MARTIN LUTHER KING J,YAKIMA SD,Elem,Public,94.84666667,39.11333333,239.6666667,36.33333333
MARTIN SORTUN ELEMEN,KENT SD,Elem,Public,49.74,17.29666667,300.3333333,64.85333333
MARVISTA ELEMENTARY,HIGHLINE SD,Elem,Public,22.21666667,3.49,309.6666667,41.96333333
MARY PURCELL ELEMENT,SEDRO-WOOLLEY SD,Elem,Public,58.90333333,8.16,232.3333333,34.80333333
MARY WALKER HIGH SCH,MARY WALKER SD,High,Public,62.17333333,0,43.66666667,22.11666667
MARYSVILLE ARTS AND,MARYSVILLE SD,High,Public,32.94,0,98,14.71
MARYSVILLE COOP PROG,MARYSVILLE SD,Elem,Public,13.89333333,0,138.3333333,61.55
MARYSVILLE MIDDLE SC,MARYSVILLE SD,Middle,Public,40.13,4.413333333,906.3333333,30.64666667
MARYSVILLE PILCHUCK,MARYSVILLE SD,High,Public,28.80666667,3.55,674.3333333,21.61666667
MASON,TACOMA SD,Middle,Public,24.77333333,0,768,42.71333333
MATTSON MIDDLE SCHOO,KENT SD,Middle,Public,30.42333333,3.083333333,678.6666667,41.41
MAYA ANGELOU ELEMENT,PASCO SD,Elem,Public,48.08,16.87666667,363.3333333,34.57666667
MAYWOOD HILLS ELEMEN,NORTHSHORE SD,Elem,Public,23.25666667,5.306666667,301,50.73666667
MAYWOOD MIDDLE SCHOO,ISSAQUAH SD,Middle,Public,14.11666667,2.625,891.6666667,45.69666667
MCAULIFFE ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,4.606666667,0,307,68.33333333
MCCARVER,TACOMA SD,Elem,Public,94.02666667,8.993333333,172.6666667,33.20333333
MCCLEARY ELEM,MCCLEARY SD,Comprehensive,Public,48.57333333,0,186.3333333,26.71333333
MCCLURE ELEMENTARY S,GRANDVIEW SD,Elem,Public,85.06,33.87333333,313,25.17
MCCLURE ELEMENTARY S,YAKIMA SD,Elem,Public,79.46,19.32333333,286,43.59
MCCLURE MIDDLE SCHOO,SEATTLE PS,Middle,Public,49.16666667,8.653333333,563,44.90333333
MCDERMOTH ELEMENTARY,ABERDEEN SD,Elem,Public,51.2,6.793333333,246.6666667,36.15666667
MCFARLAND JUNIOR,OTHELLO SD,Middle,Public,76.2,24,504,39.62
MCFARLAND MIDDLE SCH,OTHELLO SD,Middle,Public,78.98,26.74,647,61.99
MCGILVRA ELEMENTARY,SEATTLE PS,Elem,Public,11.07333333,0,126.3333333,67.92
MCILVAIGH,TACOMA SD,Middle,Public,87.785,16.895,421,25.57
MCKENNA ELEMENTARY,YELM SD,Elem,Public,41.99,0,291,56.56
MCKINLEY,TACOMA SD,Elem,Public,86.91,19.18333333,114.6666667,44.24333333
MCKINLEY ELEMENTARY,YAKIMA SD,Elem,Public,86.50333333,24.11333333,217.3333333,42.50666667
MCKNIGHT MIDDLE SCHO,RENTON SD,Middle,Public,37.23666667,8.133333333,1144,32.62333333
MCLANE ELEMENTARY SC,OLYMPIA SD,Elem,Public,29.68666667,0,143.6666667,46.79666667
MCLOUGHLIN MIDDLE SC,PASCO SD,Middle,Public,46.64666667,8.396666667,1342.666667,34.98
MCLOUGHLIN MIDDLE SC,VANCOUVER SD,Middle,Public,70.3,1.286666667,766,29.01666667
MCMICKEN HEIGHTS ELE,HIGHLINE SD,Elem,Public,66.25333333,27.54,250,31.58333333
MEAD ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,6.306666667,0,365.3333333,71.07
MEADOW BROOK INTERME,COLLEGE PLACE SD,Elem,Public,57.96,17.34,251.6666667,31.25666667
MEADOW RIDGE ELEMENT,KENT SD,Elem,Public,70.38,32.38,256.6666667,35.54333333
MEADOWDALE ELEMENTAR,EDMONDS SD,Elem,Public,35.62333333,10.96,287.6666667,63.34333333
MEADOWDALE HIGH SCHO,EDMONDS SD,High,Public,14.91,0,365.3333333,37.71666667
MEADOWDALE MIDDLE SC,EDMONDS SD,Middle,Public,23.91333333,2.3,647,36.96333333
MEADOWS ELEMENTARY,NORTH THURSTON PS,Elem,Public,48.51666667,6.476666667,283,44.85333333
MEANY MIDDLE SCHOOL,SEATTLE PS,Middle,Public,74.25,15.375,419,23.675
MEDICAL LAKE ELEMENT,MEDICAL LAKE SD,Elem,Public,43.29333333,0,86.33333333,70.00666667
MEDICAL LAKE HIGH SC,MEDICAL LAKE SD,High,Public,27.10666667,0,167.3333333,37.37666667
MEDICAL LAKE MIDDLE,MEDICAL LAKE SD,Middle,Public,31.44,0,303.3333333,46.67666667
MEEKER,TACOMA SD,Middle,Public,24.08,1.67,762.3333333,34.49
MEEKER MIDDLE SCHOOL,KENT SD,Middle,Public,53.30333333,10.77333333,653,45.84666667
MELVIN G SYRE ELEMEN,SHORELINE SD,Elem,Public,14.95333333,0,269.6666667,34.01
MERCER MIDDLE SCHOOL,SEATTLE PS,Middle,Public,72.32,17.16,716.3333333,45.99
MEREDITH HILL ELEMEN,FEDERAL WAY SD,Elem,Public,33.99,4.46,220,72.49
MERIDIAN ELEMENTARY,KENT SD,Elem,Public,31.81333333,12.88666667,335,45.77666667
MERIDIAN MIDDLE SCHO,KENT SD,Middle,Public,49.67,11.12,710.3333333,48.16666667
MERIDIAN MIDDLE SCHO,MERIDIAN SD,Middle,Public,40.04333333,5.36,330.3333333,37.06333333
MERIDIAN PARENT PART,MERIDIAN SD,Comprehensive,Alternative,8.46,0,234,0
MERIDIAN PARK ELEMEN,SHORELINE SD,Elem,Public,27.47666667,4.323333333,325.3333333,53.14
MESA ELEM,NORTH FRANKLIN SD,Elem,Public,71.36333333,19.79666667,94.33333333,42.78333333
METHOW VALLEY ELEMEN,METHOW VALLEY SD,Elem,Public,48.96333333,0,158.6666667,48.73333333
MICHAEL ANDERSON ELE,MEDICAL LAKE SD,Elem,Public,32.30333333,0,262,58.52333333
MIDDLE COLLEGE HIGH,SEATTLE PS,High,Public,50.48333333,0,26.66666667,2.38
MIDLAND ELEMENTARY,FRANKLIN PIERCE SD,Elem,Public,60.8,10.62666667,231.6666667,62.4
MIDWAY ELEMENTARY,HIGHLINE SD,Elem,Public,71.47666667,29.67666667,269.3333333,35.64
MILL A ELEMENTARY SC,MILL A SD,Comprehensive,Public,63.61666667,0,43.66666667,46.72333333
MILL CREEK MIDDLE SC,KENT SD,Middle,Public,63.62333333,13.28333333,806,39.67666667
MILL PLAIN ELEMENTAR,EVERGREEN (CLARK)SD,Elem,Public,52.69333333,7.416666667,230.6666667,52.63
MILL POND ELEMENTARY,YELM SD,Elem,Public,33.10666667,0,315,61.76666667
