School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
BLAINE ELEMENTARY SC,BLAINE SD,Elem,Public,48.92666667,3.896666667,498.6666667,50.71666667
BLAINE HIGH SCHOOL,BLAINE SD,High,Public,49.73333333,0,163.6666667,36.02
BLAINE MIDDLE SCHOOL,BLAINE SD,Middle,Public,49.23,1.77,483.3333333,45.94
BLIX ELEMENTARY,TACOMA SD,Elem,Public,84.33,16.91333333,184,38.09
BLUE RIDGE ELEMENTAR,WALLA WALLA SD,Elem,Public,92.61333333,45.26333333,136.3333333,23.47333333
BOISTFORT ELEM,BOISTFORT SD,Comprehensive,Public,50.58333333,0,51,27.77666667
BONNEY LAKE HIGH SCH,SUMNER SD,High,Public,19.75,0,363.6666667,38.59666667
BOTHELL HIGH SCHOOL,NORTHSHORE SD,High,Public,15.34666667,2.473333333,559.6666667,47.47666667
BOW LAKE ELEMENTARY,HIGHLINE SD,Elem,Public,63.68666667,24.43666667,345,39.07333333
BOZE,TACOMA SD,Elem,Public,87.55666667,20.93,189.6666667,34.25333333
BREWSTER ELEMENTARY,BREWSTER SD,Elem,Public,64.19,42.07,269.3333333,34.01
BREWSTER HIGH SCHOOL,BREWSTER SD,High,Public,80.57,23.98666667,70.66666667,22.91333333
BREWSTER JUNIOR HIGH,BREWSTER SD,Middle,Public,82.07,26.34,134,33.04
BRIARCREST ELEMENTAR,SHORELINE SD,Elem,Public,41.72333333,12.18333333,253.6666667,50.80666667
BRIDGEPORT ELEMENTAR,BRIDGEPORT SD,Elem,Public,89.03,29.63,179,33.06666667
BRIDGEPORT MIDDLE SC,BRIDGEPORT SD,Middle,Public,88.54,24.73,176,39.74666667
BRIER TERRACE MIDDLE,EDMONDS SD,Middle,Public,23.29,0.673333333,593.3333333,36.38
BRIGADOON ELEMENTARY,FEDERAL WAY SD,Elem,Public,49.72,7.28,167.6666667,69.27666667
BRIGHTON ELEMENTARY,SEATTLE PS,Elem,Public,85.16333333,27.31666667,178,46.18
BROADVIEW-THOMSON EL,SEATTLE PS,Elem,Public,49.245,12.95,391.5,46.555
BROADVIEW-THOMSON K_,SEATTLE PS,Elem,Public,57.46,14.52,489,35.68
BROOKDALE ELEMENTARY,FRANKLIN PIERCE SD,Elem,Public,59.07,6.47,235.6666667,46.73
BROOKSIDE ELEMENTARY,SHORELINE SD,Elem,Public,15.27,0,314.3333333,51.9
BROWNE ELEMENTARY,SPOKANE SD,Elem,Public,55.26666667,0,264.6666667,59.71333333
BROWNS POINT,TACOMA SD,Elem,Public,13.55,0,209.6666667,70.83
BRYANT,TACOMA SD,Comprehensive,Public,57.39666667,0,199.6666667,39.13666667
BRYANT ELEMENTARY SC,SEATTLE PS,Elem,Public,10.02,7.636666667,246.6666667,64.84333333
BRYN MAWR ELEMENTARY,RENTON SD,Elem,Public,65.55666667,9.296666667,237.6666667,34.75
BURLEY GLENWOOD ELEM,SOUTH KITSAP SD,Elem,Public,40.78666667,0,261.3333333,44.81333333
BURLINGTON EDISON HI,BURLINGTON SD,High,Public,29.70666667,6.85,310.6666667,32.93666667
BURNT BRIDGE CREEK E,EVERGREEN (CLARK)SD,Elem,Public,44.09666667,6.47,312.6666667,47.80666667
BURTON ELEMENTARY SC,EVERGREEN (CLARK)SD,Elem,Public,57.72333333,8.556666667,268.3333333,44.96333333
BYRON KIBLER ELEMENT,ENUMCLAW SD,Elem,Public,33.25,6.443333333,223,37.17666667
CAMAS ELEMENTARY,WAPATO SD,Elem,Public,90.25666667,29.08333333,305,31.96
CAMAS HIGH SCHOOL,CAMAS SD,High,Public,18.47666667,0,400.6666667,52.58333333
CAMAS PRAIRIE ELEMEN,BETHEL SD,Elem,Public,51.94666667,0,451,40.76666667
CAMELOT ELEMENTARY S,FEDERAL WAY SD,Elem,Public,60.59,11.79,178.3333333,63.04
CAMPBELL HILL ELEMEN,RENTON SD,Elem,Public,76.66666667,17.34666667,188.3333333,33.12333333
CANYON CREEK ELEMENT,NORTHSHORE SD,Elem,Public,12.58666667,3.39,334.3333333,57.32666667
CANYON CREEK MIDDLE,WASHOUGAL SD,Middle,Public,30.35333333,0,231,41.27666667
CANYON PARK JR HIGH,NORTHSHORE SD,Middle,Public,19.48333333,2.226666667,493.6666667,44.71333333
CANYON VIEW ELEMENTA,KENNEWICK SD,Elem,Public,40.07333333,6.303333333,273.3333333,49.19666667
CAPITAL HIGH SCHOOL,OLYMPIA SD,Comprehensive,Public,22.30666667,0,354,32.39
CARBONADO HISTORICAL,CARBONADO SD,Comprehensive,Public,15.42,0,128,45.68666667
CARMICHAEL MIDDLE SC,RICHLAND SD,Middle,Public,31.34333333,2.623333333,851.6666667,36.96666667
CARNATION ELEMENTARY,RIVERVIEW SD,Elem,Public,23.81,5.97,218,31.27333333
CARRIAGE CREST ELEME,KENT SD,Elem,Public,23.80666667,4.983333333,262.6666667,52.87
CARSON ELEMENTARY,PUYALLUP SD,Elem,Public,24.00333333,2.94,487,44.08666667
CARSON ELEMENTARY,STEVENSON-CARSON SD,Elem,Public,54.24,4.43,271,43.38
CARTER LAKE ELEMENTA,CLOVER PARK SD,Elem,Public,46.99666667,0,150,50.83
CASCADE ELEMENTARY,EASTMONT SD,Elem,Public,37.24666667,7.286666667,198.3333333,51.82666667
CASCADE ELEMENTARY,MARYSVILLE SD,Elem,Public,57.36,12.82,278.6666667,41.4
CASCADE ELEMENTARY S,KENNEWICK SD,Elem,Public,32.91666667,4.23,278.6666667,53.48333333
CASCADE ELEMENTARY S,RENTON SD,Elem,Public,61.53333333,12.62333333,257.6666667,41.43
CASCADE HIGH SCHOOL,EVERETT SD,High,Public,33.06666667,5.55,453.3333333,40.07333333
CASCADE MIDDLE SCHOO,AUBURN SD,Middle,Public,49.17333333,7.413333333,732.6666667,28.14333333
CASCADE MIDDLE SCHOO,EVERGREEN (CLARK)SD,Middle,Public,51.40333333,5.366666667,944.6666667,34.18666667
CASCADE MIDDLE SCHOO,HIGHLINE SD,Middle,Public,68.63666667,17.45,529,28.58
CASCADE MIDDLE SCHOO,LONGVIEW SD,Middle,Public,52.00333333,2.91,499.6666667,29.87333333
CASCADE MIDDLE SCHOO,SEDRO-WOOLLEY SD,Middle,Public,44.62333333,3.913333333,629.3333333,40.58333333
CASCADE VIEW ELEMENT,TUKWILA SD,Elem,Public,84.59333333,45.36,210.3333333,47.76333333
CASHMERE HIGH SCHOOL,CASHMERE SD,High,Public,36.19666667,7.09,127,34.80666667
CASHMERE MIDDLE SCHO,CASHMERE SD,Middle,Public,45.12666667,8.023333333,437,38.74
CASTLE ROCK ELEMENTA,CASTLE ROCK SD,Elem,Public,46.01333333,3.623333333,404.6666667,32.79333333
CASTLE ROCK HIGH SCH,CASTLE ROCK SD,High,Public,34.52,0,107.6666667,18.74666667
CATHARINE BLAINE K-8,SEATTLE PS,Comprehensive,Public,16.95666667,0,336,47.29333333
CATHCART ELEMENTARY,SNOHOMISH SD,Elem,Public,18.11666667,5.06,254.3333333,44.23666667
CAVELERO MID HIGH SC,LAKE STEVENS SD,Middle,Public,23.14333333,2.54,596.3333333,34.45333333
CEDAR HEIGHTS MIDDLE,KENT SD,Middle,Public,33.79333333,6.43,760.6666667,41.02333333
CEDAR VALLEY COMMUNI,EDMONDS SD,Elem,Public,74.62,31.57333333,217.6666667,37.31333333
CEDAR VALLEY ELEMENT,KENT SD,Elem,Public,57.39,11.83333333,190.6666667,40.02
CEDAR WAY ELEMENTARY,EDMONDS SD,Elem,Public,33.53333333,6.253333333,228.6666667,51.09666667
CEDARCREST HIGH SCHO,RIVERVIEW SD,High,Public,11.39333333,0,226,27.69666667
CEDARCREST JR HIGH,BETHEL SD,Middle,Public,45.84,0,541,29.05
CEDARCREST SCHOOL,MARYSVILLE SD,Middle,Public,40.05666667,4.55,869.3333333,28.98
CEDARHOME ELEMENTARY,STANWOOD SD,Elem,Public,23.95666667,0,295.6666667,65.55666667
CEDARHURST ELEMENTAR,HIGHLINE SD,Elem,Public,65.27666667,19.07666667,267.3333333,36.53666667
CENTENNIAL ELEMENTAR,BETHEL SD,Elem,Public,48.92333333,0,410.6666667,39.71333333
CENTENNIAL ELEMENTAR,MOUNT VERNON SD,Elem,Public,77.81666667,29.26666667,340,41.08
CENTENNIAL MIDDLE SC,SNOHOMISH SD,Middle,Public,19.67666667,1.45,734,28.89
CENTENNIAL MIDDLE SC,WEST VLY (SPK)SD,Middle,Public,53.43666667,2.12,610.6666667,36.58333333
CENTER ELEMENTARY SC,GRAND COULEE SD,Elem,Public,55.37,0,89.66666667,32.62333333
CENTRAL AVENUE ELEME,FRANKLIN PIERCE SD,Elem,Public,56.48333333,5.88,182.3333333,53.53
CENTRAL ELEMENTARY,FERNDALE SD,Elem,Public,70.97,13.22666667,212.3333333,45.63333333
CENTRAL ELEMENTARY S,SEDRO-WOOLLEY SD,Elem,Public,64.43,9.17,243.6666667,37.38333333
CENTRAL KITSAP JUNIO,CENTRAL KITSAP SD,Middle,Public,18.99,2.17,575.3333333,54.37666667
CENTRAL VALLEY HIGH,CENTRAL VALLEY SD,High,Public,28.69333333,2.283333333,483,45.98333333
CENTRALIA HIGH SCHOO,CENTRALIA SD,High,Public,48.93666667,4.24,269.3333333,28.61333333
CENTRALIA MIDDLE SCH,CENTRALIA SD,Middle,Public,60.02,4.08,524,29.56333333
CHALLENGER ELEMENTAR,MUKILTEO SD,Elem,Public,76.50666667,26.68,283.6666667,46.39666667
CHARLES FRANCIS ADAM,CLARKSTON SD,High,Public,34.03,0,211.6666667,27.03
